tanggal,nama_target_id,nama_target,jumlah_target,nabung_harian,jumlah_terkumpul,progres,sisa_target,status_id,status
01/01/2022,0,Iphone 17 Pro Max,25000000,300000,300000,0.01,0.99,0,BELUM TERPENUHI
01/02/2022,0,Iphone 17 Pro Max,25000000,500000,800000,0.03,0.97,0,BELUM TERPENUHI
01/03/2022,0,Iphone 17 Pro Max,25000000,200000,1000000,0.04,0.96,0,BELUM TERPENUHI
01/04/2022,0,Iphone 17 Pro Max,25000000,500000,1500000,0.06,0.94,0,BELUM TERPENUHI
01/05/2022,0,Iphone 17 Pro Max,25000000,500000,2000000,0.08,0.92,0,BELUM TERPENUHI
01/06/2022,0,Iphone 17 Pro Max,25000000,100000,2100000,0.08,0.92,0,BELUM TERPENUHI
01/07/2022,0,Iphone 17 Pro Max,25000000,200000,2300000,0.09,0.91,0,BELUM TERPENUHI
01/08/2022,0,Iphone 17 Pro Max,25000000,200000,2500000,0.1,0.9,0,BELUM TERPENUHI
01/09/2022,0,Iphone 17 Pro Max,25000000,200000,2700000,0.11,0.89,0,BELUM TERPENUHI
01/10/2022,0,Iphone 17 Pro Max,25000000,500000,3200000,0.13,0.87,0,BELUM TERPENUHI
01/11/2022,0,Iphone 17 Pro Max,25000000,300000,3500000,0.14,0.86,0,BELUM TERPENUHI
01/12/2022,0,Iphone 17 Pro Max,25000000,200000,3700000,0.15,0.85,0,BELUM TERPENUHI
01/13/2022,0,Iphone 17 Pro Max,25000000,500000,4200000,0.17,0.83,0,BELUM TERPENUHI
01/14/2022,0,Iphone 17 Pro Max,25000000,100000,4300000,0.17,0.83,0,BELUM TERPENUHI
01/15/2022,0,Iphone 17 Pro Max,25000000,300000,4600000,0.18,0.82,0,BELUM TERPENUHI
01/16/2022,0,Iphone 17 Pro Max,25000000,100000,4700000,0.19,0.81,0,BELUM TERPENUHI
01/17/2022,0,Iphone 17 Pro Max,25000000,300000,5000000,0.2,0.8,0,BELUM TERPENUHI
01/18/2022,0,Iphone 17 Pro Max,25000000,500000,5500000,0.22,0.78,0,BELUM TERPENUHI
01/19/2022,0,Iphone 17 Pro Max,25000000,50000,5550000,0.22,0.78,0,BELUM TERPENUHI
01/20/2022,0,Iphone 17 Pro Max,25000000,300000,5850000,0.23,0.77,0,BELUM TERPENUHI
01/21/2022,0,Iphone 17 Pro Max,25000000,100000,5950000,0.24,0.76,0,BELUM TERPENUHI
01/22/2022,0,Iphone 17 Pro Max,25000000,500000,6450000,0.26,0.74,0,BELUM TERPENUHI
01/23/2022,0,Iphone 17 Pro Max,25000000,300000,6750000,0.27,0.73,0,BELUM TERPENUHI
01/24/2022,0,Iphone 17 Pro Max,25000000,50000,6800000,0.27,0.73,0,BELUM TERPENUHI
01/25/2022,0,Iphone 17 Pro Max,25000000,50000,6850000,0.27,0.73,0,BELUM TERPENUHI
01/26/2022,0,Iphone 17 Pro Max,25000000,200000,7050000,0.28,0.72,0,BELUM TERPENUHI
01/27/2022,0,Iphone 17 Pro Max,25000000,200000,7250000,0.29,0.71,0,BELUM TERPENUHI
01/28/2022,0,Iphone 17 Pro Max,25000000,100000,7350000,0.29,0.71,0,BELUM TERPENUHI
01/29/2022,0,Iphone 17 Pro Max,25000000,300000,7650000,0.31,0.69,0,BELUM TERPENUHI
01/30/2022,0,Iphone 17 Pro Max,25000000,300000,7950000,0.32,0.68,0,BELUM TERPENUHI
01/31/2022,0,Iphone 17 Pro Max,25000000,200000,8150000,0.33,0.67,0,BELUM TERPENUHI
02/01/2022,0,Iphone 17 Pro Max,25000000,300000,8450000,0.34,0.66,0,BELUM TERPENUHI
02/02/2022,0,Iphone 17 Pro Max,25000000,300000,8750000,0.35,0.65,0,BELUM TERPENUHI
02/03/2022,0,Iphone 17 Pro Max,25000000,50000,8800000,0.35,0.65,0,BELUM TERPENUHI
02/04/2022,0,Iphone 17 Pro Max,25000000,200000,9000000,0.36,0.64,0,BELUM TERPENUHI
02/05/2022,0,Iphone 17 Pro Max,25000000,500000,9500000,0.38,0.62,0,BELUM TERPENUHI
02/06/2022,0,Iphone 17 Pro Max,25000000,200000,9700000,0.39,0.61,0,BELUM TERPENUHI
02/07/2022,0,Iphone 17 Pro Max,25000000,500000,10200000,0.41,0.59,0,BELUM TERPENUHI
02/08/2022,0,Iphone 17 Pro Max,25000000,50000,10250000,0.41,0.59,0,BELUM TERPENUHI
02/09/2022,0,Iphone 17 Pro Max,25000000,100000,10350000,0.41,0.59,0,BELUM TERPENUHI
02/10/2022,0,Iphone 17 Pro Max,25000000,300000,10650000,0.43,0.57,0,BELUM TERPENUHI
02/11/2022,0,Iphone 17 Pro Max,25000000,50000,10700000,0.43,0.57,0,BELUM TERPENUHI
02/12/2022,0,Iphone 17 Pro Max,25000000,300000,11000000,0.44,0.56,0,BELUM TERPENUHI
02/13/2022,0,Iphone 17 Pro Max,25000000,100000,11100000,0.44,0.56,0,BELUM TERPENUHI
02/14/2022,0,Iphone 17 Pro Max,25000000,100000,11200000,0.45,0.55,0,BELUM TERPENUHI
02/15/2022,0,Iphone 17 Pro Max,25000000,50000,11250000,0.45,0.55,0,BELUM TERPENUHI
02/16/2022,0,Iphone 17 Pro Max,25000000,100000,11350000,0.45,0.55,0,BELUM TERPENUHI
02/17/2022,0,Iphone 17 Pro Max,25000000,500000,11850000,0.47,0.53,0,BELUM TERPENUHI
02/18/2022,0,Iphone 17 Pro Max,25000000,100000,11950000,0.48,0.52,0,BELUM TERPENUHI
02/19/2022,0,Iphone 17 Pro Max,25000000,300000,12250000,0.49,0.51,0,BELUM TERPENUHI
02/20/2022,0,Iphone 17 Pro Max,25000000,300000,12550000,0.5,0.5,0,BELUM TERPENUHI
02/21/2022,0,Iphone 17 Pro Max,25000000,300000,12850000,0.51,0.49,0,BELUM TERPENUHI
02/22/2022,0,Iphone 17 Pro Max,25000000,300000,13150000,0.53,0.47,0,BELUM TERPENUHI
02/23/2022,0,Iphone 17 Pro Max,25000000,500000,13650000,0.55,0.45,0,BELUM TERPENUHI
02/24/2022,0,Iphone 17 Pro Max,25000000,200000,13850000,0.55,0.45,0,BELUM TERPENUHI
02/25/2022,0,Iphone 17 Pro Max,25000000,50000,13900000,0.56,0.44,0,BELUM TERPENUHI
02/26/2022,0,Iphone 17 Pro Max,25000000,300000,14200000,0.57,0.43,0,BELUM TERPENUHI
02/27/2022,0,Iphone 17 Pro Max,25000000,100000,14300000,0.57,0.43,0,BELUM TERPENUHI
02/28/2022,0,Iphone 17 Pro Max,25000000,300000,14600000,0.58,0.42,0,BELUM TERPENUHI
03/01/2022,0,Iphone 17 Pro Max,25000000,100000,14700000,0.59,0.41,0,BELUM TERPENUHI
03/02/2022,0,Iphone 17 Pro Max,25000000,100000,14800000,0.59,0.41,0,BELUM TERPENUHI
03/03/2022,0,Iphone 17 Pro Max,25000000,300000,15100000,0.6,0.4,0,BELUM TERPENUHI
03/04/2022,0,Iphone 17 Pro Max,25000000,500000,15600000,0.62,0.38,0,BELUM TERPENUHI
03/05/2022,0,Iphone 17 Pro Max,25000000,100000,15700000,0.63,0.37,0,BELUM TERPENUHI
03/06/2022,0,Iphone 17 Pro Max,25000000,100000,15800000,0.63,0.37,0,BELUM TERPENUHI
03/07/2022,0,Iphone 17 Pro Max,25000000,300000,16100000,0.64,0.36,0,BELUM TERPENUHI
03/08/2022,0,Iphone 17 Pro Max,25000000,100000,16200000,0.65,0.35,0,BELUM TERPENUHI
03/09/2022,0,Iphone 17 Pro Max,25000000,100000,16300000,0.65,0.35,0,BELUM TERPENUHI
03/10/2022,0,Iphone 17 Pro Max,25000000,300000,16600000,0.66,0.34,0,BELUM TERPENUHI
03/11/2022,0,Iphone 17 Pro Max,25000000,300000,16900000,0.68,0.32,0,BELUM TERPENUHI
03/12/2022,0,Iphone 17 Pro Max,25000000,50000,16950000,0.68,0.32,0,BELUM TERPENUHI
03/13/2022,0,Iphone 17 Pro Max,25000000,500000,17450000,0.7,0.3,0,BELUM TERPENUHI
03/14/2022,0,Iphone 17 Pro Max,25000000,500000,17950000,0.72,0.28,0,BELUM TERPENUHI
03/15/2022,0,Iphone 17 Pro Max,25000000,100000,18050000,0.72,0.28,0,BELUM TERPENUHI
03/16/2022,0,Iphone 17 Pro Max,25000000,500000,18550000,0.74,0.26,0,BELUM TERPENUHI
03/17/2022,0,Iphone 17 Pro Max,25000000,100000,18650000,0.75,0.25,0,BELUM TERPENUHI
03/18/2022,0,Iphone 17 Pro Max,25000000,50000,18700000,0.75,0.25,0,BELUM TERPENUHI
03/19/2022,0,Iphone 17 Pro Max,25000000,300000,19000000,0.76,0.24,0,BELUM TERPENUHI
03/20/2022,0,Iphone 17 Pro Max,25000000,300000,19300000,0.77,0.23,0,BELUM TERPENUHI
03/21/2022,0,Iphone 17 Pro Max,25000000,300000,19600000,0.78,0.22,0,BELUM TERPENUHI
03/22/2022,0,Iphone 17 Pro Max,25000000,500000,20100000,0.8,0.2,0,BELUM TERPENUHI
03/23/2022,0,Iphone 17 Pro Max,25000000,50000,20150000,0.81,0.19,0,BELUM TERPENUHI
03/24/2022,0,Iphone 17 Pro Max,25000000,500000,20650000,0.83,0.17,0,BELUM TERPENUHI
03/25/2022,0,Iphone 17 Pro Max,25000000,500000,21150000,0.85,0.15,0,BELUM TERPENUHI
03/26/2022,0,Iphone 17 Pro Max,25000000,50000,21200000,0.85,0.15,0,BELUM TERPENUHI
03/27/2022,0,Iphone 17 Pro Max,25000000,50000,21250000,0.85,0.15,0,BELUM TERPENUHI
03/28/2022,0,Iphone 17 Pro Max,25000000,50000,21300000,0.85,0.15,0,BELUM TERPENUHI
03/29/2022,0,Iphone 17 Pro Max,25000000,50000,21350000,0.85,0.15,0,BELUM TERPENUHI
03/30/2022,0,Iphone 17 Pro Max,25000000,300000,21650000,0.87,0.13,0,BELUM TERPENUHI
03/31/2022,0,Iphone 17 Pro Max,25000000,200000,21850000,0.87,0.13,0,BELUM TERPENUHI
04/01/2022,0,Iphone 17 Pro Max,25000000,200000,22050000,0.88,0.12,0,BELUM TERPENUHI
04/02/2022,0,Iphone 17 Pro Max,25000000,50000,22100000,0.88,0.12,0,BELUM TERPENUHI
04/03/2022,0,Iphone 17 Pro Max,25000000,200000,22300000,0.89,0.11,0,BELUM TERPENUHI
04/04/2022,0,Iphone 17 Pro Max,25000000,200000,22500000,0.9,0.1,0,BELUM TERPENUHI
04/05/2022,0,Iphone 17 Pro Max,25000000,50000,22550000,0.9,0.1,0,BELUM TERPENUHI
04/06/2022,0,Iphone 17 Pro Max,25000000,200000,22750000,0.91,0.09,0,BELUM TERPENUHI
04/07/2022,0,Iphone 17 Pro Max,25000000,500000,23250000,0.93,0.07,0,BELUM TERPENUHI
04/08/2022,0,Iphone 17 Pro Max,25000000,100000,23350000,0.93,0.07,0,BELUM TERPENUHI
04/09/2022,0,Iphone 17 Pro Max,25000000,100000,23450000,0.94,0.06,0,BELUM TERPENUHI
04/10/2022,0,Iphone 17 Pro Max,25000000,50000,23500000,0.94,0.06,0,BELUM TERPENUHI
04/11/2022,0,Iphone 17 Pro Max,25000000,300000,23800000,0.95,0.05,0,BELUM TERPENUHI
04/12/2022,0,Iphone 17 Pro Max,25000000,50000,23850000,0.95,0.05,0,BELUM TERPENUHI
04/13/2022,0,Iphone 17 Pro Max,25000000,300000,24150000,0.97,0.03,0,BELUM TERPENUHI
04/14/2022,0,Iphone 17 Pro Max,25000000,100000,24250000,0.97,0.03,0,BELUM TERPENUHI
04/15/2022,0,Iphone 17 Pro Max,25000000,50000,24300000,0.97,0.03,0,BELUM TERPENUHI
04/16/2022,0,Iphone 17 Pro Max,25000000,500000,24800000,0.99,0.01,0,BELUM TERPENUHI
04/17/2022,0,Iphone 17 Pro Max,25000000,200000,25000000,1.0,0.0,1,TERPENUHI ✅
04/18/2022,1,Laptop Gaming ASUS ROG,28000000,300000,300000,0.01,0.99,0,BELUM TERPENUHI
04/19/2022,1,Laptop Gaming ASUS ROG,28000000,200000,500000,0.02,0.98,0,BELUM TERPENUHI
04/20/2022,1,Laptop Gaming ASUS ROG,28000000,200000,700000,0.02,0.98,0,BELUM TERPENUHI
04/21/2022,1,Laptop Gaming ASUS ROG,28000000,50000,750000,0.03,0.97,0,BELUM TERPENUHI
04/22/2022,1,Laptop Gaming ASUS ROG,28000000,200000,950000,0.03,0.97,0,BELUM TERPENUHI
04/23/2022,1,Laptop Gaming ASUS ROG,28000000,500000,1450000,0.05,0.95,0,BELUM TERPENUHI
04/24/2022,1,Laptop Gaming ASUS ROG,28000000,200000,1650000,0.06,0.94,0,BELUM TERPENUHI
04/25/2022,1,Laptop Gaming ASUS ROG,28000000,50000,1700000,0.06,0.94,0,BELUM TERPENUHI
04/26/2022,1,Laptop Gaming ASUS ROG,28000000,500000,2200000,0.08,0.92,0,BELUM TERPENUHI
04/27/2022,1,Laptop Gaming ASUS ROG,28000000,100000,2300000,0.08,0.92,0,BELUM TERPENUHI
04/28/2022,1,Laptop Gaming ASUS ROG,28000000,200000,2500000,0.09,0.91,0,BELUM TERPENUHI
04/29/2022,1,Laptop Gaming ASUS ROG,28000000,50000,2550000,0.09,0.91,0,BELUM TERPENUHI
04/30/2022,1,Laptop Gaming ASUS ROG,28000000,100000,2650000,0.09,0.91,0,BELUM TERPENUHI
05/01/2022,1,Laptop Gaming ASUS ROG,28000000,100000,2750000,0.1,0.9,0,BELUM TERPENUHI
05/02/2022,1,Laptop Gaming ASUS ROG,28000000,300000,3050000,0.11,0.89,0,BELUM TERPENUHI
05/03/2022,1,Laptop Gaming ASUS ROG,28000000,500000,3550000,0.13,0.87,0,BELUM TERPENUHI
05/04/2022,1,Laptop Gaming ASUS ROG,28000000,200000,3750000,0.13,0.87,0,BELUM TERPENUHI
05/05/2022,1,Laptop Gaming ASUS ROG,28000000,50000,3800000,0.14,0.86,0,BELUM TERPENUHI
05/06/2022,1,Laptop Gaming ASUS ROG,28000000,300000,4100000,0.15,0.85,0,BELUM TERPENUHI
05/07/2022,1,Laptop Gaming ASUS ROG,28000000,500000,4600000,0.16,0.84,0,BELUM TERPENUHI
05/08/2022,1,Laptop Gaming ASUS ROG,28000000,300000,4900000,0.18,0.82,0,BELUM TERPENUHI
05/09/2022,1,Laptop Gaming ASUS ROG,28000000,500000,5400000,0.19,0.81,0,BELUM TERPENUHI
05/10/2022,1,Laptop Gaming ASUS ROG,28000000,500000,5900000,0.21,0.79,0,BELUM TERPENUHI
05/11/2022,1,Laptop Gaming ASUS ROG,28000000,200000,6100000,0.22,0.78,0,BELUM TERPENUHI
05/12/2022,1,Laptop Gaming ASUS ROG,28000000,500000,6600000,0.24,0.76,0,BELUM TERPENUHI
05/13/2022,1,Laptop Gaming ASUS ROG,28000000,300000,6900000,0.25,0.75,0,BELUM TERPENUHI
05/14/2022,1,Laptop Gaming ASUS ROG,28000000,500000,7400000,0.26,0.74,0,BELUM TERPENUHI
05/15/2022,1,Laptop Gaming ASUS ROG,28000000,200000,7600000,0.27,0.73,0,BELUM TERPENUHI
05/16/2022,1,Laptop Gaming ASUS ROG,28000000,200000,7800000,0.28,0.72,0,BELUM TERPENUHI
05/17/2022,1,Laptop Gaming ASUS ROG,28000000,300000,8100000,0.29,0.71,0,BELUM TERPENUHI
05/18/2022,1,Laptop Gaming ASUS ROG,28000000,100000,8200000,0.29,0.71,0,BELUM TERPENUHI
05/19/2022,1,Laptop Gaming ASUS ROG,28000000,100000,8300000,0.3,0.7,0,BELUM TERPENUHI
05/20/2022,1,Laptop Gaming ASUS ROG,28000000,500000,8800000,0.31,0.69,0,BELUM TERPENUHI
05/21/2022,1,Laptop Gaming ASUS ROG,28000000,50000,8850000,0.32,0.68,0,BELUM TERPENUHI
05/22/2022,1,Laptop Gaming ASUS ROG,28000000,500000,9350000,0.33,0.67,0,BELUM TERPENUHI
05/23/2022,1,Laptop Gaming ASUS ROG,28000000,300000,9650000,0.34,0.66,0,BELUM TERPENUHI
05/24/2022,1,Laptop Gaming ASUS ROG,28000000,300000,9950000,0.36,0.64,0,BELUM TERPENUHI
05/25/2022,1,Laptop Gaming ASUS ROG,28000000,300000,10250000,0.37,0.63,0,BELUM TERPENUHI
05/26/2022,1,Laptop Gaming ASUS ROG,28000000,300000,10550000,0.38,0.62,0,BELUM TERPENUHI
05/27/2022,1,Laptop Gaming ASUS ROG,28000000,300000,10850000,0.39,0.61,0,BELUM TERPENUHI
05/28/2022,1,Laptop Gaming ASUS ROG,28000000,200000,11050000,0.39,0.61,0,BELUM TERPENUHI
05/29/2022,1,Laptop Gaming ASUS ROG,28000000,100000,11150000,0.4,0.6,0,BELUM TERPENUHI
05/30/2022,1,Laptop Gaming ASUS ROG,28000000,300000,11450000,0.41,0.59,0,BELUM TERPENUHI
05/31/2022,1,Laptop Gaming ASUS ROG,28000000,50000,11500000,0.41,0.59,0,BELUM TERPENUHI
